site,time period,Shoots,Blades,Length,Width,LAI
DC,A,9,5,132,1.05,6237
DC,A,15,5,136,1.1,11220
DC,A,11,4,84,0.7,2587.2
DC,A,14,6,131,1.1,12104.4
WI,A,9,6,91,0.85,4176.9
WI,A,13,6,106,0.85,7027.8
WI,A,2,5,89,0.65,578.5
WI,A,8,-,-,-,-
RP,A,5,6,75,1,2250
RP,A,10,5,56,0.8,2240
RP,A,8,-,-,-,-
NB,A,6,4,59.5,0.5,714
NB,A,7,6,123,0.55,2841.3
NB,A,6,6,51,0.55,1009.8
NB,A,7,4,107.5,0.6,1806
CB,A,1,4,126,0.8,403.2
CB,A,5,4,83,0.7,1162
CB,A,5,6,117,0.7,2457
CB,A,5,6,133,0.9,3591
DC,C,17,5,120,0.95,9690
DC,C,12,4,134,1.05,6753.6
DC,C,14,5,104,1,7280
DC,C,16,6,126,1.1,13305.6
WI,C,16,5,69,0.55,3036
WI,C,12,5,166,0.7,6972
RP,C,15,5,123,0.9,8302.5
RP,C,7,5,124,0.95,4123
RP,C,11,5,125,0.65,4468.75
RP,C,8,5,33,0.45,594
NB,C,10,5,169,0.6,5070
NB,C,2,5,124,0.65,806
NB,C,5,6,165,0.6,2970
NB,C,16,5,190,0.75,11400
CB,C,6,6,137,0.8,3945.6
CB,C,9,4,85,0.8,2448
CB,C,5,6,93,0.8,2232
CB,C,6,5,108,0.9,2916
DC,E,14,5,147,1,10290
DC,E,9,4,207,0.95,7079.4
DC,E,15,4,132,0.8,6336
WI,E,4,6,185,0.95,4218
WI,E,6,5,155,0.8,3720
WI,E,9,6,112,0.9,5443.2
WI,E,12,4,111,0.95,5061.6
RP,E,6,4,146,0.8,2803.2
RP,E,13,5,113,0.7,5141.5
RP,E,8,5,125,0.75,3750
RP,E,5,6,212,1,6360
NB,E,11,5,177,0.55,5354.25
NB,E,10,4,82,0.3,984
NB,E,9,5,228,0.65,6669
NB,E,8,5,175,0.6,4200
CB,E,6,6,142,0.9,4600.8
CB,E,10,5,125,0.7,4375
CB,E,5,5,116,0.9,2610
CB,E,8,4,104,0.8,2662.4