Site,Time,Abundance,Log_Abundance,Simpson,Richness,Rarefied_Richness,ENS,log_ENS,Fw_dist_km
DC,A,16,1.204119983,0.6171875,3,3,2.612244898,0.41701389,24.4
DC,A,72,1.857332496,0.228780864,6,12,1.296648324,0.112822203,24.4
DC,A,152,2.181843588,0.533760388,7,7,2.144819903,0.331390831,24.4
DC,A,45,1.653212514,0.625185185,7,7,2.66798419,0.426183252,24.4
DC,A,90,1.954242509,0.640246914,11,13.5,2.779684283,0.443995471,24.4
DC,A,59,1.770852012,0.794599253,8,8.5,4.868531469,0.687397982,24.4
DC,A,55,1.740362689,0.666446281,6,6,2.998017839,0.476834213,24.4
DC,A,67,1.826074803,0.429939853,7,7,1.75420086,0.24407932,24.4
DC,A,84,1.924279286,0.516439909,7,7.333333333,2.067995311,0.31554955,24.4
DC,A,70,1.84509804,0.646530612,9,10,2.829099307,0.451648192,24.4
DC,A,48,1.681241237,0.474826389,6,6,1.904132231,0.279697104,24.4
DC,A,85,1.929418926,0.668788927,9,9.333333333,3.019222733,0.479895153,24.4
DC,A,69,1.838849091,0.368409998,4,5,1.58330562,0.199564753,24.4
DC,A,59,1.770852012,0.706693479,7,7.333333333,3.409402547,0.532678281,24.4
DC,A,53,1.72427587,0.613741545,7,7.333333333,2.588940092,0.413122001,24.4
DC,A,60,1.77815125,0.602777778,9,9.2,2.517482517,0.400966463,24.4
WI,A,13,1.113943352,0.650887574,5,5.333333333,2.86440678,0.457034693,20.6
WI,A,10,1,0.74,5,5.333333333,3.846153846,0.585026652,20.6
WI,A,7,0.84509804,0.734693878,5,11,3.769230769,0.576252728,20.6
WI,A,70,1.84509804,0.808163265,11,12,5.212765957,0.717068226,20.6
WI,A,35,1.544068044,0.773877551,12,15.75,4.422382671,0.64565632,20.6
WI,A,19,1.278753601,0.891966759,11,13,9.256410256,0.966442595,20.6
WI,A,15,1.176091259,0.862222222,10,17,7.258064516,0.860820824,20.6
WI,A,24,1.380211242,0.885416667,11,12.5,8.727272727,0.940878548,20.6
WI,A,19,1.278753601,0.831024931,8,14,5.918032787,0.772177367,20.6
WI,A,35,1.544068044,0.831020408,10,11,5.917874396,0.772165743,20.6
WI,A,17,1.230448921,0.906574394,12,15.5,10.7037037,1.029534078,20.6
WI,A,107,2.029383778,0.778233907,12,14,4.509255612,0.654104854,20.6
WI,A,10,1,0.78,7,22,4.545454545,0.657577319,20.6
WI,A,3,0.477121255,0.444444444,2,2,1.8,0.255272505,20.6
WI,A,13,1.113943352,0.792899408,6,6.333333333,4.828571429,0.68381866,20.6
WI,A,22,1.342422681,0.623966942,8,11.33333333,2.659340659,0.424773974,20.6
RP,A,33,1.51851394,0.565656566,7,8.5,2.302325581,0.362166739,15.4
RP,A,34,1.531478917,0.352941176,5,8,1.545454545,0.189056236,15.4
RP,A,29,1.462397998,0.673008323,5,5,3.058181818,0.485463302,15.4
RP,A,111,2.045322979,0.607742878,7,7.5,2.549348231,0.406429162,15.4
RP,A,71,1.851258349,0.666137671,9,9.333333333,2.995246583,0.476432581,15.4
RP,A,58,1.763427994,0.640903686,8,8.5,2.784768212,0.444789053,15.4
RP,A,69,1.838849091,0.421340055,6,6.333333333,1.728130672,0.237576578,15.4
RP,A,47,1.672097858,0.332277048,5,5.5,1.497627119,0.175403696,15.4
RP,A,34,1.531478917,0.160899654,2,2,1.191752577,0.0761861,15.4
RP,A,66,1.819543936,0.4912764,6,6.5,1.965703971,0.293518115,15.4
RP,A,50,1.698970004,0.2808,3,3,1.390433815,0.143150321,15.4
RP,A,34,1.531478917,0.512110727,6,6.333333333,2.04964539,0.31167873,15.4
RP,A,105,2.021189299,0.456235828,7,7.5,1.839032527,0.264589411,15.4
RP,A,45,1.653212514,0.558024691,6,6,2.262569832,0.354601992,15.4
RP,A,117,2.068185862,0.490320695,7,7,1.962018059,0.292703,15.4
RP,A,56,1.748188027,0.741071429,8,8.5,3.862068966,0.586820025,15.4
NB,A,39,1.591064607,0.537804076,5,5,2.37037037,0.37481621,10
NB,A,55,1.740362689,0.718677686,8,8,1.769585253,0.24787149,10
NB,A,28,1.447158031,0.681122449,8,23,1.315789474,0.119186408,10
NB,A,4,0.602059991,0.375,2,2,2.847058824,0.45439644,10
NB,A,34,1.531478917,0.313148789,5,5.333333333,2.086705202,0.319461099,10
NB,A,68,1.832508913,0.405709343,10,17.5,2.272727273,0.356547324,10
NB,A,30,1.477121255,0.52,6,7.5,1.569395018,0.19573227,10
NB,A,72,1.857332496,0.59529321,9,10.5,1.869565217,0.271740619,10
NB,A,66,1.819543936,0.592286501,11,32,1.28,0.10720997,10
NB,A,49,1.69019608,0.598084132,6,7,3.951219512,0.596731158,10
NB,A,30,1.477121255,0.613333333,8,8.75,4.09929078,0.612708726,10
NB,A,42,1.62324929,0.300453515,7,12,5.818181818,0.764787289,10
NB,A,32,1.505149978,0.609375,5,5.5,3.955156951,0.597163722,10
NB,A,50,1.698970004,0.48,7,8,3.130177515,0.495568967,10
NB,A,15,1.176091259,0.124444444,2,2,3.494545455,0.543390694,10
NB,A,16,1.204119983,0.578125,4,5,3.050793651,0.484412834,10
CB,A,48,1.681241237,0.434895833,4,5,2.163584637,0.335173889,5.8
CB,A,15,1.176091259,0.24,3,4,3.554641598,0.550795819,5.8
CB,A,22,1.342422681,0.648760331,6,6.333333333,3.136,0.496376054,5.8
CB,A,19,1.278753601,0.520775623,3,3,1.6,0.204119983,5.8
CB,A,30,1.477121255,0.56,4,5,1.455919395,0.163137332,5.8
CB,A,21,1.322219295,0.362811791,2,2,1.682678311,0.226001097,5.8
CB,A,43,1.633468456,0.465116279,3,3,2.083333333,0.318758763,5.8
CB,A,8,0.903089987,0.21875,2,2,2.47092469,0.392859509,5.8
CB,A,36,1.556302501,0.74691358,7,10,2.452702703,0.38964491,5.8
CB,A,34,1.531478917,0.756055363,9,11,2.488082902,0.395864847,5.8
CB,A,32,1.505149978,0.828125,9,10,2.586206897,0.412663266,5.8
CB,A,42,1.62324929,0.747165533,8,9.5,1.429497569,0.155183421,5.8
CB,A,23,1.361727836,0.680529301,6,7.5,2.56,0.408239965,5.8
CB,A,31,1.491361694,0.71383975,8,8.75,1.923076923,0.283996656,5.8
CB,A,124,2.093421685,0.672216441,8,9,1.14213198,0.057716292,5.8
DC,C,263,2.419955748,0.315054432,8,11,1.459970028,0.16434394,24.4
DC,C,139,2.1430148,0.212825423,6,6.5,1.270366231,0.103928941,24.4
DC,C,213,2.328379603,0.215962441,6,6,1.275449102,0.105663132,24.4
DC,C,224,2.350248018,0.226363202,5,5,1.292596218,0.111462881,24.4
DC,C,318,2.50242712,0.271923579,10,11,1.373482194,0.137823034,24.4
DC,C,955,2.980003372,0.186944437,11,12,1.229928243,0.089879774,24.4
DC,C,405,2.607455023,0.213565005,7,7,1.271560913,0.10433717,24.4
DC,C,680,2.832508913,0.077240484,4,4,1.083705974,0.034911467,24.4
DC,C,360,2.556302501,0.210740741,7,7,1.267010793,0.102780314,24.4
DC,C,643,2.808210973,0.1482311,8,8.2,1.174027368,0.069678221,24.4
DC,C,540,2.73239376,0.167620027,6,6,1.201374412,0.079678378,24.4
DC,C,597,2.775974331,0.099464379,5,6,1.110450244,0.045499104,24.4
DC,C,450,2.653212514,0.081214815,3,3,1.088393692,0.036786016,24.4
DC,C,1494,3.174350597,0.074383209,10,11,1.080360695,0.033568776,24.4
DC,C,850,2.929418926,0.055158478,5,6,1.058378549,0.024641029,24.4
DC,C,82,1.913813852,0.801308745,10,11.5,5.032934132,0.701821247,24.4
WI,C,60,1.77815125,0.763333333,9,9.333333333,4.225352113,0.625862906,20.6
WI,C,71,1.851258349,0.816901408,13,20.5,5.461538462,0.737314996,20.6
WI,C,80,1.903089987,0.371875,6,7.5,1.592039801,0.201953921,20.6
WI,C,44,1.643452676,0.73553719,9,9.2,3.78125,0.577635392,20.6
WI,C,23,1.361727836,0.850661626,12,26,6.696202532,0.825828581,20.6
WI,C,106,2.025305865,0.566927732,9,10.5,2.309083436,0.363439626,20.6
WI,C,116,2.064457989,0.462098692,9,14,1.859077093,0.2692974,20.6
WI,C,182,2.260071388,0.270317594,9,10.5,1.370459247,0.136866126,20.6
WI,C,6,0.77815125,0.611111111,3,3,2.571428571,0.410174465,20.6
WI,C,25,1.397940009,0.8448,10,11.5,6.443298969,0.809108283,20.6
WI,C,78,1.892094603,0.433267587,8,8.333333333,1.76450116,0.246621948,20.6
WI,C,210,2.322219295,0.559092971,11,14,2.268051841,0.355652977,20.6
WI,C,24,1.380211242,0.361111111,5,6.5,1.565217391,0.194574665,20.6
WI,C,95,1.977723605,0.319556787,7,7,1.469630353,0.167208113,20.6
WI,C,127,2.103803721,0.358360717,9,10.5,1.558508068,0.192709055,20.6
BE,C,31,1.491361694,0.437044745,7,9,2.005824259,0.302292879,19.4
BE,C,92,1.963787827,0.104206049,3,3,2.121796462,0.326703721,19.4
BE,C,105,2.021189299,0.144761905,6,12,3.438479008,0.536366377,19.4
BE,C,182,2.260071388,0.346093467,9,10,3.840552528,0.584393709,19.4
BE,C,82,1.913813852,0.161213563,5,5.5,4.0978371,0.61255469,19.4
BE,C,146,2.164352856,0.330549822,10,10.33333333,4.608418721,0.663551932,19.4
BE,C,79,1.897627091,0.25156225,5,6,4.05045535,0.607503849,19.4
BE,C,58,1.763427994,0.281212842,7,10,3.795699363,0.579291807,19.4
BE,C,98,1.991226076,0.295501874,9,12,2.524744917,0.402217507,19.4
BE,C,123,2.089905111,0.281314033,11,13,5.262758458,0.721213438,19.4
BE,C,108,2.033423755,0.173525377,5,6,2.533767602,0.403766779,19.4
BE,C,72,1.857332496,0.425154321,8,8.25,2.982497292,0.474580058,19.4
BE,C,233,2.367355921,0.617620512,11,11.5,3.153153153,0.498745066,19.4
BE,C,35,1.544068044,0.055510204,2,2,2.03865517,0.309343773,19.4
BE,C,32,1.505149978,0.060546875,2,2,4.4,0.643452676,19.4
BE,C,161,2.206825876,0.174761776,5,5,4.426778243,0.646087767,19.4
EI,C,208,2.318063335,0.706453402,7,8,3.270231473,0.514578494,19
EI,C,209,2.320146286,0.601405645,6,6,1.739416745,0.240403647,19
EI,C,539,2.731588765,0.707460046,12,15,2.733458094,0.43671242,19
EI,C,485,2.685741739,0.794575407,10,11.5,4.43962352,0.647346144,19
EI,C,560,2.748188027,0.765006378,11,12.5,1.500649534,0.176279278,19
EI,C,759,2.880241776,0.747047724,12,27,1.192764579,0.076554734,19
EI,C,1213,3.083860801,0.791509132,11,12,2.302158273,0.362135178,19
EI,C,456,2.658964843,0.732302247,7,7,1.515695067,0.180611837,19
EI,C,389,2.589949601,0.722437732,8,9,4.738317757,0.675624182,19
EI,C,1233,3.090963077,0.798625788,12,13,1.8,0.255272505,19
EI,C,509,2.706717782,0.784596323,12,13.5,1.646117085,0.216460722,19
EI,C,187,2.271841607,0.679230175,7,8,2.234514859,0.349183247,19
EI,C,307,2.487138375,0.780464514,10,11,1.662629758,0.220795549,19
EI,C,1138,3.056142262,0.767090539,8,8,1.940833752,0.287988336,19
EI,C,212,2.326335861,0.705856177,9,9.5,1.762818392,0.246207573,19
EI,C,272,2.434568904,0.791198097,7,7,1.566757493,0.19500178,19
RP,C,267,2.426511261,0.501451837,14,15.5,4.428571429,0.646263654,15.4
RP,C,346,2.539076099,0.52870126,16,18,1.719366257,0.235368399,15.4
RP,C,243,2.385606274,0.709173737,16,16.75,2.439129542,0.387234866,15.4
RP,C,590,2.770852012,0.739620799,16,16,2.204908888,0.343390648,15.4
RP,C,305,2.484299839,0.755968826,18,20,2.158313817,0.334114591,15.4
RP,C,129,2.11058971,0.783005829,15,16.5,1.853427896,0.267975695,15.4
RP,C,685,2.835690571,0.753114178,14,14,2.852049911,0.455157121,15.4
RP,C,610,2.785329835,0.73654394,17,17,1.855312007,0.268416955,15.4
RP,C,315,2.498310554,0.603920383,19,21.5,3.6,0.556302501,15.4
RP,C,395,2.596597096,0.809985579,20,21.5,2.083037975,0.318697187,15.4
RP,C,230,2.361727836,0.605330813,14,14,2.312,0.36398783,15.4
RP,C,1297,3.112939976,0.664710509,20,26,2.86440678,0.457034693,15.4
RP,C,70,1.84509804,0.682857143,12,13,2.508745366,0.399456583,15.4
RP,C,433,2.636487896,0.509480556,15,15,1.713901083,0.233985753,15.4
RP,C,22,1.342422681,0.772727273,6,6,2.590541251,0.413390512,15.4
RP,C,92,1.963787827,0.774102079,13,16.33333333,2.356363636,0.372242312,15.4
NB,C,31,1.491361694,0.774193548,8,9.5,1.735735736,0.239483605,10
NB,C,202,2.305351369,0.418390354,7,7,2.510370502,0.399737823,10
NB,C,109,2.037426498,0.590017675,6,6,2.98655636,0.475170715,10
NB,C,77,1.886490725,0.54646652,6,6,3.278810409,0.515716305,10
NB,C,96,1.982271233,0.536675347,9,10,2.076923077,0.317420412,10
NB,C,56,1.748188027,0.460459184,6,9,2.561889887,0.408560459,10
NB,C,80,1.903089987,0.649375,7,7.5,3.965694683,0.598319275,10
NB,C,191,2.281033367,0.4610071,7,13,1.705972268,0.231971967,10
NB,C,6,0.77815125,0.722222222,4,4.333333333,4.729927007,0.674854439,10
NB,C,374,2.572871602,0.51993194,11,12.5,1.951501155,0.290368813,10
NB,C,34,1.531478917,0.567474048,3,3,4.454545455,0.648803395,10
NB,C,52,1.716003344,0.650887574,7,8.5,2.11005504,0.324293784,10
NB,C,310,2.491361694,0.601394381,11,12,2.620403321,0.418368141,10
NB,C,242,2.383815366,0.416535756,8,11,1.379153034,0.139612459,10
NB,C,157,2.195899652,0.613980283,6,6,2.25,0.352182518,10
NB,C,72,1.857332496,0.575617284,5,5,1.932311914,0.286077232,10
CB,C,135,2.130333768,0.694211248,9,10,3.452914122,0.538185777,5.8
CB,C,43,1.633468456,0.425094646,5,5,2.590800454,0.413433964,5.8
CB,C,143,2.155336037,0.63416304,9,9,2.859590207,0.456303801,5.8
CB,C,293,2.46686762,0.774755676,12,13.5,3.811011444,0.581040253,5.8
CB,C,163,2.212187604,0.33362189,8,8.5,3.185733977,0.503209507,5.8
CB,C,94,1.973127854,0.161611589,7,9,2.99911609,0.476993277,5.8
CB,C,160,2.204119983,0.565625,9,9.5,3.760929796,0.575295227,5.8
CB,C,26,1.414973348,0.340236686,6,16,1.998123059,0.300622232,5.8
CB,C,39,1.591064607,0.788954635,6,6,2.570170538,0.409961941,5.8
CB,C,12,1.079181246,0.444444444,2,2,3.305413384,0.519225781,5.8
CB,C,83,1.919078092,0.392509798,9,14,3.896253602,0.590647217,5.8
CB,C,158,2.198657087,0.552475565,8,9,2.926311492,0.466320553,5.8
CB,C,248,2.394451681,0.398543184,11,26,2.517143808,0.400908028,5.8
CB,C,139,2.1430148,0.484757518,5,5,2.197586722,0.341946022,5.8
CB,C,146,2.164352856,0.43272659,8,11,1.662900031,0.220866141,5.8
CB,C,115,2.06069784,0.36173913,6,6,2.229579418,0.348222947,5.8
BI,C,31,1.491361694,0.803329865,8,11,2.002426764,0.301556641,5
BI,C,79,1.897627091,0.639961545,8,11,2.196285941,0.341688882,5
BI,C,127,2.103803721,0.673321347,13,18,2.363666206,0.373586146,5
BI,C,103,2.012837225,0.790649449,10,16,2.147335188,0.331899841,5
BI,C,96,1.982271233,0.674262153,9,19,2.01786818,0.304892792,5
BI,C,28,1.447158031,0.553571429,6,6.333333333,1.427632417,0.154616401,5
BI,C,61,1.785329835,0.822897071,10,13,2.167448916,0.335948871,5
BI,C,421,2.624282096,0.535519434,9,9.333333333,2.175646098,0.337588252,5
BI,C,163,2.212187604,0.627347661,8,11,2.193888246,0.341214501,5
BI,C,22,1.342422681,0.603305785,6,7.5,2.194296094,0.34129523,5
BI,C,73,1.86332286,0.72396322,8,9.5,1.917713356,0.282783693,5
BI,C,47,1.672097858,0.775916704,8,8.333333333,2.190641508,0.340571312,5
BI,C,39,1.591064607,0.773175542,9,19,2.19212243,0.340864806,5
BI,C,103,2.012837225,0.684136111,10,13.33333333,2.136584256,0.329720024,5
BI,C,114,2.056904851,0.491997538,13,20,2.358347912,0.372607874,5
BI,C,119,2.075546961,0.589365158,8,18,2.166334979,0.335725612,5
CC,C,80,1.903089987,0.293125,9,16.5,3.611975299,0.557744772,2.2
CC,C,43,1.633468456,0.479177934,5,5,2.86009116,0.456379876,2.2
CC,C,13,1.113943352,0.378698225,3,3,1.962544254,0.292819459,2.2
CC,C,33,1.51851394,0.574839302,4,4,3.617770617,0.558441027,2.2
CC,C,40,1.602059991,0.58,5,5.5,3.415706539,0.533480551,2.2
CC,C,29,1.462397998,0.5921522,5,8,1.984677333,0.29768991,2.2
CC,C,19,1.278753601,0.36565097,5,11,2.743225897,0.438261572,2.2
CC,C,67,1.826074803,0.317665404,7,13,2.127066165,0.327780999,2.2
CC,C,13,1.113943352,0.662721893,6,9,2.991971862,0.475957505,2.2
CC,C,75,1.875061263,0.352,7,7,2.736860068,0.437252593,2.2
CC,C,107,2.029383778,0.581535505,7,7.333333333,1.972357585,0.294985655,2.2
CC,C,5,0.698970004,0.32,2,2,2.867843044,0.457555379,2.2
CC,C,77,1.886490725,0.52892562,4,4,3.071122536,0.487297145,2.2
CC,C,70,1.84509804,0.513061224,4,5,2.099509082,0.322117758,2.2
CC,C,12,1.079181246,0.722222222,5,5.5,2.301826495,0.362072585,2.2
CC,C,41,1.612783857,0.573468174,7,8,2.787636628,0.445236162,2.2
DC,E,608,2.783903579,0.500605956,7,7,3.676702177,0.565458452,24.4
DC,E,857,2.932980822,0.54468588,10,13,5.177623991,0.714130508,24.4
DC,E,725,2.860338007,0.576928419,9,10,4.264587028,0.629876982,24.4
DC,E,414,2.617000341,0.534306518,9,9.5,2.586930017,0.41278468,24.4
DC,E,536,2.72916479,0.504427489,8,8.5,7.275472518,0.861861205,24.4
DC,E,1216,3.084933575,0.299539582,8,8.5,4.94017094,0.693741977,24.4
DC,E,1144,3.058426024,0.538628111,8,8.5,3.667938931,0.564422096,24.4
DC,E,1558,3.192567453,0.540366422,11,11,2.43858019,0.387137041,24.4
DC,E,1130,3.053078443,0.544188268,12,14,2.645217391,0.422461369,24.4
DC,E,1609,3.206556044,0.544272989,9,10,3.211285532,0.506678923,24.4
DC,E,1379,3.139564266,0.478545635,10,11.5,4.5,0.653212514,24.4
DC,E,1455,3.162862993,0.543512712,12,15,3.582201386,0.554149998,24.4
DC,E,1572,3.196452542,0.5438211,12,22,7.584852735,0.879947153,24.4
DC,E,1526,3.183554534,0.531963227,11,11,3.015846067,0.479409171,24.4
DC,E,1110,3.045322979,0.575974353,12,13.5,2.451911935,0.389504868,24.4
DC,E,2062,3.314288661,0.538390872,13,16,3.406614173,0.532322949,24.4
WI,E,428,2.631443769,0.710389554,17,17.6,2.508816266,0.399468857,20.6
WI,E,575,2.759667845,0.614018904,17,19,3.418336491,0.533814811,20.6
WI,E,710,2.851258349,0.650299544,16,16.25,4.867966309,0.687347564,20.6
WI,E,111,2.045322979,0.737602467,8,8,4.255434635,0.628943924,20.6
WI,E,430,2.633468456,0.686100595,12,13,3.953314896,0.596961409,20.6
WI,E,521,2.716837723,0.666568426,14,20,4.796373143,0.680912963,20.6
WI,E,283,2.451786436,0.734108305,14,17.33333333,3.735556194,0.572355274,20.6
WI,E,739,2.868644438,0.499530324,16,31,3.602795172,0.556639572,20.6
WI,E,695,2.841984805,0.61092076,15,18,4.965879136,0.695996145,20.6
WI,E,435,2.638489257,0.69746598,17,24.5,4.642446288,0.666746888,20.6
WI,E,104,2.017033339,0.743343195,9,9.5,3.117500223,0.493806493,20.6
WI,E,448,2.651278014,0.658272879,13,16.33333333,4.555072254,0.65849527,20.6
WI,E,426,2.629409599,0.602724327,13,14,4.293513865,0.63281287,20.6
WI,E,1172,3.068927612,0.544955387,13,13,3.399697428,0.531440267,20.6
WI,E,1986,3.297979244,0.39864094,18,23,4.789228379,0.680265547,20.6
WI,E,538,2.730782276,0.551484916,17,19,1.414677277,0.150657378,20.6
RP,E,912,2.959994838,0.723143179,12,15,1.920041537,0.283310624,15.4
RP,E,855,2.931966115,0.650360795,14,21.5,1.60952381,0.206697406,15.4
RP,E,789,2.897077003,0.49045735,12,13.5,2.352051836,0.371446889,15.4
RP,E,849,2.92890769,0.723586676,14,21.5,2.380952381,0.37675071,15.4
RP,E,555,2.744292983,0.707234802,9,12,2.451895044,0.389501876,15.4
RP,E,472,2.673941999,0.496139759,7,8,1.576419214,0.19767172,15.4
RP,E,441,2.644438589,0.635465675,9,10,1.465556644,0.166002609,15.4
RP,E,1488,3.172602931,0.529868879,14,35,2.964912281,0.472011849,15.4
RP,E,2293,3.360404055,0.665772258,9,9,1.543209877,0.188424994,15.4
RP,E,594,2.773786445,0.634617783,12,15,2.389689,0.378341384,15.4
RP,E,914,2.960946196,0.492992545,11,11.5,1.470588235,0.167491087,15.4
RP,E,658,2.818225894,0.651305882,11,11,2.122807018,0.326910515,15.4
RP,E,448,2.651278014,0.674386161,12,12,2.05364627,0.312525641,15.4
RP,E,791,2.898176483,0.523698178,13,19,3.6,0.556302501,15.4
RP,E,612,2.786751422,0.565562391,9,9,2.344490934,0.370048558,15.4
RP,E,1101,3.041787319,0.641273188,10,10,5.084656085,0.706261584,15.4
NB,E,34,1.531478917,0.423875433,4,4,1.776340111,0.249526123,10
NB,E,119,2.075546961,0.601652426,9,12,1.116328146,0.047791875,10
NB,E,76,1.880813592,0.665166205,8,9,1.169265033,0.067912962,10
NB,E,42,1.62324929,0.695011338,7,7.5,1.529270545,0.184484324,10
NB,E,18,1.255272505,0.518518519,5,8,1.192198582,0.076348601,10
NB,E,81,1.908485019,0.609663161,7,7,1.493763139,0.174281738,10
NB,E,68,1.832508913,0.74783737,7,7,1.336116463,0.125844315,10
NB,E,125,2.096910013,0.413824,11,12,1.391232423,0.14339969,10
NB,E,36,1.556302501,0.788580247,8,9.5,1.419450192,0.152120158,10
NB,E,130,2.113943352,0.487573964,7,7,1.391428309,0.143460835,10
NB,E,49,1.69019608,0.775510204,10,15,1.209958506,0.082770477,10
NB,E,295,2.469822016,0.526078713,10,10,1.739597315,0.240448729,10
NB,E,94,1.973127854,0.618379357,7,7,2.615203044,0.417505413,10
NB,E,173,2.238046103,0.274917304,10,10,1.058772688,0.02480273,10
NB,E,36,1.556302501,0.555555556,6,6.5,1.064449064,0.027124884,10
NB,E,130,2.113943352,0.482485207,8,8,1.211771306,0.083420664,10
CB,E,126,2.100370545,0.728017133,9,9,2.777481086,0.44365111,5.8
CB,E,67,1.826074803,0.806861216,14,21,3.061112165,0.485879243,5.8
CB,E,383,2.583198774,0.765510706,21,26,4.776677172,0.679125891,5.8
CB,E,103,2.012837225,0.613441418,9,15,3.069953364,0.487131778,5.8
CB,E,183,2.26245109,0.862551883,14,24,2.24,0.350248018,5.8
CB,E,34,1.531478917,0.797577855,8,11,5.646433991,0.751774255,5.8
CB,E,62,1.792391689,0.727367326,10,11.5,2.152942606,0.333032452,5.8
CB,E,162,2.209515015,0.589925316,15,15.42857143,2.683466317,0.428696148,5.8
CB,E,39,1.591064607,0.621959237,5,5,2.520833333,0.401544133,5.8
CB,E,87,1.939519253,0.68859823,10,11,3.622705642,0.559033047,5.8
CB,E,12,1.079181246,0.777777778,6,7.5,4.462626263,0.649590517,5.8
CB,E,299,2.475671188,0.720842049,16,16.25,4.408695652,0.644310119,5.8
CB,E,104,2.017033339,0.868158284,14,14.25,3.165920621,0.500500022,5.8
CB,E,73,1.86332286,0.66841809,9,9.333333333,1.968494396,0.294134183,5.8
CB,E,92,1.963787827,0.592155009,6,6,2.435253654,0.386544204,5.8
